windowNumber,session,lowCutoff,highCutoff,error,polarHR,calculatedHR
1,adaptation,5,15,0.39871382636654573,84.0,83.60128617363345
2,adaptation,5,30,1.50881316098706,84.0,82.49118683901294
3,adaptation,5,30,2.3303757828810063,83.75,81.419624217119
4,adaptation,5,25,1.769067796610173,83.125,81.35593220338983
5,adaptation,5,35,2.120412844036693,82.625,80.5045871559633
6,adaptation,5,40,3.0174943566591423,82.25,79.23250564334086
7,adaptation,5,25,3.625,81.625,78.0
8,adaptation,5,15,3.437224669603509,80.75,77.31277533039649
9,adaptation,5,15,2.077922077922082,80.0,77.92207792207792
10,adaptation,5,40,0.4203964194373384,79.375,79.79539641943734
11,adaptation,5,15,0.14249492900607663,79.25,79.10750507099392
12,adaptation,5,40,1.6664072229140743,79.375,77.70859277708593
13,adaptation,5,35,1.2115704772474913,79.125,77.91342952275251
14,adaptation,5,40,1.7056451612903203,79.125,77.41935483870968
15,adaptation,5,40,0.4891304347826093,78.75,78.26086956521739
16,adaptation,5,15,4.540094339622641,78.125,73.58490566037736
17,adaptation,5,25,6.159031413612567,77.625,71.46596858638743
18,adaptation,5,30,4.752299605781857,76.5,71.74770039421814
19,adaptation,5,35,2.56286464410735,75.375,72.81213535589265
20,adaptation,5,15,1.5123775843307925,74.875,76.38737758433079
21,adaptation,5,15,1.848684210526315,75.125,76.97368421052632
22,adaptation,5,15,0.4313380281690087,75.625,76.05633802816901
23,adaptation,5,20,0.6338424437298897,75.875,75.24115755627011
24,adaptation,5,15,1.2054794520547887,76.0,74.79452054794521
25,adaptation,5,40,1.1088516746411443,75.75,74.64114832535886
26,adaptation,5,35,1.8767667844523004,75.375,73.4982332155477
27,adaptation,5,30,4.135238907849839,75.125,70.98976109215016
28,adaptation,5,15,3.3483466362599756,74.5,71.15165336374002
29,adaptation,5,15,1.8605990783410107,73.75,71.88940092165899
30,adaptation,5,25,0.09642438452519286,73.25,73.15357561547481
31,adaptation,5,20,0.8086492890995345,73.125,73.93364928909953
32,adaptation,5,25,0.3349056603773448,73.25,73.58490566037734
33,adaptation,5,20,0.7226027397260282,73.25,73.97260273972603
34,adaptation,5,35,0.38386524822693957,73.375,73.75886524822694
35,adaptation,5,15,1.9027926960257844,73.5,75.40279269602578
36,adaptation,5,20,1.6901237890204612,73.875,75.56512378902046
37,adaptation,5,15,0.7855995717344797,74.375,75.16059957173448
38,adaptation,5,30,0.10885167464114431,74.75,74.64114832535886
39,adaptation,5,20,0.9313380281690087,75.125,76.05633802816901
40,adaptation,5,25,0.02779269602578438,75.375,75.40279269602578
41,adaptation,5,20,0.4097472924187855,75.5,75.09025270758121
42,adaptation,5,15,1.5579652996845397,75.375,73.81703470031546
43,adaptation,5,15,0.3048561151079099,75.125,74.82014388489209
44,adaptation,5,35,0.32844619105199513,75.125,75.453446191052
45,adaptation,5,20,1.2214983713354997,75.0,76.2214983713355
46,adaptation,5,15,0.04478609625668639,75.125,75.08021390374331
47,adaptation,5,30,1.2834766584766584,75.375,76.65847665847666
48,adaptation,5,25,1.2213114754098484,75.5,76.72131147540985
49,adaptation,5,25,0.36363636363637397,76.0,76.36363636363637
50,adaptation,5,15,3.7033985581874305,76.0,72.29660144181257
51,adaptation,5,15,4.831823329558318,75.5,70.66817667044168
52,adaptation,5,25,3.233208955223887,74.875,71.64179104477611
53,adaptation,5,25,1.482392316647278,74.125,72.64260768335272
54,adaptation,5,15,0.21605249873800858,73.71428571428571,73.4982332155477
55,adaptation,5,25,0.008865248226953781,73.75,73.75886524822695
56,adaptation,5,20,0.4245005875440597,73.75,73.32549941245594
57,adaptation,5,20,0.8034232365145328,73.625,72.82157676348547
58,adaptation,5,15,0.8282828282828234,73.55555555555556,72.72727272727273
