windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,20
2,adaptation,5,15
3,adaptation,5,15
4,adaptation,5,30
5,adaptation,5,15
6,adaptation,5,25
7,adaptation,5,15
8,adaptation,5,20
9,adaptation,5,35
10,adaptation,5,25
11,adaptation,5,25
12,adaptation,5,15
13,adaptation,5,30
14,adaptation,5,35
15,adaptation,5,15
16,adaptation,5,15
17,adaptation,5,20
18,adaptation,5,40
19,adaptation,5,25
20,adaptation,5,25
21,adaptation,5,20
22,adaptation,5,20
23,adaptation,5,30
24,adaptation,5,30
25,adaptation,5,30
26,adaptation,5,15
27,adaptation,5,35
28,adaptation,5,15
29,adaptation,5,15
30,adaptation,5,40
31,adaptation,5,20
32,adaptation,5,15
33,adaptation,5,35
34,adaptation,5,15
35,adaptation,5,15
36,adaptation,5,40
37,adaptation,5,15
38,adaptation,5,30
39,adaptation,5,40
40,adaptation,5,15
41,adaptation,5,30
42,adaptation,5,15
43,adaptation,5,35
44,adaptation,5,25
45,adaptation,5,20
46,adaptation,5,25
47,adaptation,5,25
48,adaptation,5,15
49,adaptation,5,15
50,adaptation,5,15
51,adaptation,5,30
52,adaptation,5,20
53,adaptation,5,30
54,adaptation,5,15
55,adaptation,5,30
56,adaptation,5,15
57,adaptation,5,25
58,adaptation,5,15
59,adaptation,5,30
60,adaptation,5,15
61,adaptation,5,15
62,adaptation,5,15
63,adaptation,5,15
64,adaptation,5,20
65,adaptation,5,15
66,adaptation,5,40
67,adaptation,5,15
68,adaptation,5,30
69,adaptation,5,30
70,adaptation,5,15
71,adaptation,5,20
72,adaptation,5,15
73,adaptation,5,15
74,adaptation,5,15
75,adaptation,5,25
76,adaptation,5,15
77,adaptation,5,15
78,adaptation,5,35
79,adaptation,5,25
80,adaptation,5,15
81,adaptation,5,15
82,adaptation,5,20
83,adaptation,5,30
84,adaptation,5,25
85,adaptation,5,40
86,adaptation,5,20
87,adaptation,5,20
88,adaptation,5,30
89,adaptation,5,40
90,adaptation,5,35
91,adaptation,5,25
92,adaptation,5,35
93,adaptation,5,35
94,adaptation,5,30
95,adaptation,5,15
96,adaptation,5,15
97,adaptation,5,25
98,adaptation,5,25
99,adaptation,5,20
100,adaptation,5,25
101,adaptation,5,40
102,adaptation,5,25
103,adaptation,5,35
104,adaptation,5,20
105,adaptation,5,35
106,adaptation,5,30
107,adaptation,5,15
108,adaptation,5,15
109,adaptation,5,15
110,adaptation,5,35
111,adaptation,5,25
112,adaptation,5,15
113,adaptation,5,15
114,adaptation,5,15
115,adaptation,5,15
116,adaptation,5,20
117,adaptation,5,25
118,adaptation,5,25
119,adaptation,5,35
120,adaptation,5,15
121,adaptation,5,15
122,adaptation,5,35
123,adaptation,5,15
124,adaptation,5,20
125,adaptation,5,25
126,adaptation,5,15
127,adaptation,5,15
128,adaptation,5,15
129,adaptation,5,35
130,adaptation,5,15
131,adaptation,5,30
132,adaptation,5,20
133,adaptation,5,20
134,adaptation,5,30
135,adaptation,5,15
136,adaptation,5,25
137,adaptation,5,40
138,adaptation,5,20
139,adaptation,5,15
140,adaptation,5,30
141,adaptation,5,25
142,adaptation,5,15
143,baseline,5,15
144,baseline,5,25
145,baseline,5,25
146,baseline,5,35
147,baseline,5,20
148,baseline,5,15
149,baseline,5,30
150,baseline,5,25
151,baseline,5,15
152,baseline,5,25
153,baseline,5,15
154,baseline,5,30
155,baseline,5,40
156,baseline,5,15
157,baseline,5,15
158,baseline,5,15
159,baseline,5,25
160,baseline,5,25
161,baseline,5,20
162,baseline,5,15
163,baseline,5,20
164,baseline,5,25
165,baseline,5,25
166,baseline,5,20
167,baseline,5,35
168,baseline,5,15
169,baseline,5,20
170,baseline,5,40
171,baseline,5,15
172,baseline,5,30
173,baseline,5,35
174,baseline,5,25
175,baseline,5,15
176,baseline,5,15
177,baseline,5,25
178,baseline,5,25
179,baseline,5,15
180,baseline,5,15
181,baseline,5,15
182,baseline,5,15
183,baseline,5,15
184,baseline,5,15
185,baseline,5,35
186,baseline,5,15
187,baseline,5,40
188,baseline,5,15
189,baseline,5,15
190,baseline,5,15
191,baseline,5,20
192,baseline,5,35
193,baseline,5,35
194,baseline,5,25
195,baseline,5,15
196,baseline,5,35
197,baseline,5,25
198,baseline,5,40
199,baseline,5,15
200,baseline,5,15
201,baseline,5,15
202,baseline,5,35
203,baseline,5,30
204,baseline,5,35
205,baseline,5,20
206,baseline,5,15
207,baseline,5,25
208,baseline,5,15
209,baseline,5,20
210,baseline,5,25
211,baseline,5,30
212,baseline,5,35
213,baseline,5,20
214,baseline,5,30
215,baseline,5,25
216,baseline,5,40
217,baseline,5,15
218,baseline,5,15
219,baseline,5,40
220,baseline,5,30
221,baseline,5,15
222,baseline,5,35
223,baseline,5,25
224,baseline,5,30
225,baseline,5,25
226,baseline,5,15
227,baseline,5,25
228,baseline,5,15
229,baseline,5,25
230,TP_baseline_to_tsst-prep,5,35
231,TP_baseline_to_tsst-prep,5,20
232,TP_baseline_to_tsst-prep,5,25
233,TP_baseline_to_tsst-prep,5,15
234,TP_baseline_to_tsst-prep,5,25
235,TP_baseline_to_tsst-prep,5,30
236,TP_baseline_to_tsst-prep,5,15
237,TP_baseline_to_tsst-prep,5,30
238,TP_baseline_to_tsst-prep,5,15
239,TP_baseline_to_tsst-prep,5,20
240,TP_baseline_to_tsst-prep,5,25
241,TP_baseline_to_tsst-prep,5,20
242,TP_baseline_to_tsst-prep,5,20
243,TP_baseline_to_tsst-prep,5,15
244,TP_baseline_to_tsst-prep,5,15
245,TP_baseline_to_tsst-prep,5,25
246,TP_baseline_to_tsst-prep,5,20
247,TP_baseline_to_tsst-prep,5,15
248,TP_baseline_to_tsst-prep,5,25
249,TP_baseline_to_tsst-prep,5,15
250,TP_baseline_to_tsst-prep,5,15
251,TP_baseline_to_tsst-prep,5,40
252,tsst-prep,5,30
253,tsst-prep,5,25
254,tsst-prep,5,15
255,tsst-prep,5,30
256,tsst-prep,5,15
257,tsst-prep,5,25
258,tsst-prep,5,20
259,tsst-prep,5,30
260,tsst-prep,5,30
261,tsst-prep,5,40
262,tsst-prep,5,15
263,tsst-prep,5,15
264,tsst-prep,5,30
265,tsst-prep,5,15
266,tsst-prep,5,15
267,tsst-prep,5,15
268,tsst-prep,5,40
269,tsst-prep,5,15
270,tsst-prep,5,30
271,tsst-prep,5,25
272,tsst-prep,5,20
273,tsst-prep,5,15
274,tsst-prep,5,15
275,tsst-prep,5,35
276,tsst-prep,5,40
277,tsst-prep,5,15
278,tsst-prep,5,15
279,tsst-prep,5,20
280,tsst-prep,5,20
281,tsst-prep,5,25
282,tsst-prep,5,30
283,tsst-prep,5,35
284,tsst-prep,5,15
285,tsst-prep,5,15
286,tsst-prep,5,40
287,tsst-prep,5,15
288,tsst-prep,5,15
289,tsst-prep,5,35
290,tsst-prep,5,15
291,tsst-prep,5,25
292,tsst-prep,5,20
293,tsst-prep,5,20
294,tsst-prep,5,30
295,tsst-prep,5,25
296,tsst-prep,5,20
297,tsst-prep,5,20
298,tsst-prep,5,15
299,tsst-prep,5,15
300,tsst-prep,5,25
301,tsst-prep,5,30
302,tsst-prep,5,40
303,tsst-prep,5,30
304,tsst-prep,5,15
305,tsst-prep,5,25
306,tsst-prep,5,25
307,tsst-prep,5,40
308,tsst-prep,5,20
309,tsst-prep,5,30
310,tsst-prep,5,35
311,tsst-prep,5,20
312,tsst-prep,5,15
313,tsst-prep,5,15
314,tsst-prep,5,20
315,tsst-prep,5,20
316,tsst-prep,5,15
317,tsst-prep,5,30
318,tsst-prep,5,15
319,tsst-prep,5,35
320,tsst-prep,5,20
321,tsst-prep,5,15
322,tsst-prep,5,20
323,tsst-prep,5,35
324,tsst-prep,5,15
325,tsst-prep,5,15
326,tsst-prep,5,30
327,tsst-prep,5,15
328,tsst-prep,5,35
329,tsst-prep,5,15
330,tsst-prep,5,30
331,tsst-prep,5,30
332,tsst-prep,5,40
333,tsst-prep,5,15
334,tsst-prep,5,15
335,tsst-prep,5,35
336,tsst-prep,5,25
337,tsst-prep,5,15
338,tsst-speech,5,40
339,tsst-speech,5,30
340,tsst-speech,5,25
341,tsst-speech,5,30
342,tsst-speech,5,15
343,tsst-speech,5,25
344,tsst-speech,5,20
345,tsst-speech,5,30
346,tsst-speech,5,15
347,tsst-speech,5,15
348,tsst-speech,5,40
349,tsst-speech,5,15
350,tsst-speech,5,15
351,tsst-speech,5,35
352,tsst-speech,5,40
353,tsst-speech,5,25
354,tsst-speech,5,20
355,tsst-speech,5,15
356,tsst-speech,5,15
357,tsst-speech,5,25
358,tsst-speech,5,25
359,tsst-speech,5,15
360,tsst-speech,5,15
361,tsst-speech,5,40
362,tsst-speech,5,35
363,tsst-speech,5,15
364,tsst-speech,5,20
365,tsst-speech,5,25
366,tsst-speech,5,15
367,tsst-speech,5,15
368,tsst-speech,5,30
369,tsst-speech,5,40
370,tsst-speech,5,15
371,tsst-speech,5,30
372,tsst-speech,5,15
373,tsst-speech,5,25
374,tsst-speech,5,15
375,tsst-speech,5,15
376,tsst-speech,5,15
377,tsst-speech,5,25
378,tsst-speech,5,15
379,tsst-speech,5,35
380,tsst-speech,5,30
381,tsst-speech,5,15
382,tsst-speech,5,35
383,tsst-speech,5,15
384,tsst-speech,5,40
385,tsst-speech,5,15
386,tsst-speech,5,15
387,tsst-speech,5,15
388,tsst-speech,5,15
389,tsst-speech,5,15
390,tsst-speech,5,15
391,tsst-speech,5,25
392,tsst-speech,5,20
393,tsst-speech,5,20
394,tsst-speech,5,25
395,tsst-speech,5,15
396,tsst-speech,5,15
397,tsst-speech,5,30
398,tsst-speech,5,30
399,tsst-speech,5,40
400,tsst-speech,5,15
401,tsst-speech,5,35
402,tsst-speech,5,15
403,tsst-speech,5,15
404,tsst-speech,5,15
405,tsst-speech,5,40
406,tsst-speech,5,15
407,tsst-speech,5,15
408,tsst-speech,5,15
409,tsst-speech,5,15
410,tsst-speech,5,15
411,tsst-speech,5,40
412,tsst-speech,5,20
413,tsst-speech,5,25
414,tsst-speech,5,30
415,tsst-speech,5,15
416,tsst-speech,5,40
417,tsst-speech,5,35
418,tsst-speech,5,35
419,tsst-speech,5,15
420,tsst-speech,5,15
421,tsst-speech,5,15
422,tsst-speech,5,25
423,tsst-speech,5,40
424,tsst-speech,5,35
425,tsst-speech,5,15
426,TP_tsst-speech_to_meditation-1,5,20
427,TP_tsst-speech_to_meditation-1,5,15
428,TP_tsst-speech_to_meditation-1,5,30
429,TP_tsst-speech_to_meditation-1,5,15
430,TP_tsst-speech_to_meditation-1,5,30
431,TP_tsst-speech_to_meditation-1,5,30
432,TP_tsst-speech_to_meditation-1,5,15
433,TP_tsst-speech_to_meditation-1,5,30
434,TP_tsst-speech_to_meditation-1,5,25
435,TP_tsst-speech_to_meditation-1,5,40
436,TP_tsst-speech_to_meditation-1,5,20
437,TP_tsst-speech_to_meditation-1,5,15
438,TP_tsst-speech_to_meditation-1,5,40
439,TP_tsst-speech_to_meditation-1,5,25
440,TP_tsst-speech_to_meditation-1,5,20
441,TP_tsst-speech_to_meditation-1,5,20
442,TP_tsst-speech_to_meditation-1,5,20
443,TP_tsst-speech_to_meditation-1,5,20
444,TP_tsst-speech_to_meditation-1,5,15
445,TP_tsst-speech_to_meditation-1,5,25
446,TP_tsst-speech_to_meditation-1,5,15
447,TP_tsst-speech_to_meditation-1,5,20
448,TP_tsst-speech_to_meditation-1,5,30
449,TP_tsst-speech_to_meditation-1,5,25
450,TP_tsst-speech_to_meditation-1,5,15
451,TP_tsst-speech_to_meditation-1,5,40
452,TP_tsst-speech_to_meditation-1,5,30
453,TP_tsst-speech_to_meditation-1,5,25
454,TP_tsst-speech_to_meditation-1,5,30
455,meditation-1,5,15
456,meditation-1,5,20
457,meditation-1,5,20
458,meditation-1,5,35
459,meditation-1,5,15
460,meditation-1,5,25
461,meditation-1,5,30
462,meditation-1,5,25
463,meditation-1,5,20
464,meditation-1,5,30
465,meditation-1,5,40
466,meditation-1,5,20
467,meditation-1,5,15
468,meditation-1,5,15
469,meditation-1,5,15
470,meditation-1,5,15
471,meditation-1,5,20
472,meditation-1,5,15
473,meditation-1,5,30
474,meditation-1,5,25
475,meditation-1,5,30
476,meditation-1,5,15
477,meditation-1,5,20
478,meditation-1,5,25
479,meditation-1,5,30
480,meditation-1,5,15
481,meditation-1,5,15
482,meditation-1,5,35
483,meditation-1,5,25
484,meditation-1,5,15
485,meditation-1,5,15
486,meditation-1,5,20
487,meditation-1,5,30
488,meditation-1,5,20
489,meditation-1,5,20
490,meditation-1,5,15
491,meditation-1,5,25
492,meditation-1,5,15
493,meditation-1,5,15
494,meditation-1,5,25
495,meditation-1,5,25
496,meditation-1,5,20
497,meditation-1,5,20
498,meditation-1,5,40
499,meditation-1,5,40
500,meditation-1,5,30
501,meditation-1,5,25
502,meditation-1,5,25
503,meditation-1,5,30
504,meditation-1,5,25
505,meditation-1,5,15
506,meditation-1,5,15
507,meditation-1,5,25
508,meditation-1,5,30
509,meditation-1,5,30
510,meditation-1,5,25
511,meditation-1,5,30
512,meditation-1,5,35
513,meditation-1,5,20
514,meditation-1,5,40
515,meditation-1,5,15
516,meditation-1,5,15
517,meditation-1,5,20
518,meditation-1,5,15
519,meditation-1,5,40
520,meditation-1,5,25
521,meditation-1,5,25
522,meditation-1,5,20
523,meditation-1,5,25
524,meditation-1,5,20
525,meditation-1,5,25
526,meditation-1,5,30
527,meditation-1,5,25
528,meditation-1,5,15
529,meditation-1,5,25
530,meditation-1,5,15
531,meditation-1,5,20
532,meditation-1,5,15
533,meditation-1,5,30
534,meditation-1,5,15
535,meditation-1,5,15
536,meditation-1,5,35
537,meditation-1,5,15
538,meditation-1,5,15
539,meditation-1,5,15
540,meditation-1,5,20
541,meditation-1,5,20
542,meditation-1,5,15
543,meditation-1,5,20
544,meditation-1,5,30
545,meditation-1,5,15
546,meditation-1,5,40
547,meditation-1,5,15
548,meditation-1,5,20
549,meditation-1,5,15
550,meditation-1,5,30
551,meditation-1,5,15
552,meditation-1,5,15
553,meditation-1,5,15
554,meditation-1,5,25
555,meditation-1,5,30
556,meditation-1,5,15
557,meditation-1,5,25
558,meditation-1,5,15
559,meditation-1,5,25
560,meditation-1,5,15
561,meditation-1,5,15
562,meditation-1,5,15
563,meditation-1,5,15
564,meditation-1,5,25
565,meditation-1,5,30
566,meditation-1,5,30
567,meditation-1,5,30
568,meditation-1,5,20
569,meditation-1,5,35
570,meditation-1,5,15
571,meditation-1,5,15
572,meditation-1,5,30
573,meditation-1,5,30
574,meditation-1,5,30
575,meditation-1,5,40
576,meditation-1,5,25
577,meditation-1,5,15
578,meditation-1,5,25
579,meditation-1,5,30
580,meditation-1,5,25
581,meditation-1,5,25
582,meditation-1,5,20
583,meditation-1,5,15
584,meditation-1,5,15
585,meditation-1,5,25
586,meditation-1,5,20
587,meditation-1,5,25
588,meditation-1,5,20
589,meditation-1,5,20
590,meditation-1,5,35
591,meditation-1,5,15
592,meditation-1,5,35
593,meditation-1,5,15
594,meditation-1,5,25
595,meditation-1,5,20
596,meditation-1,5,25
597,meditation-1,5,20
598,meditation-1,5,15
599,meditation-1,5,15
600,meditation-1,5,40
601,TP_meditation-1_to_screen-reading,5,20
602,TP_meditation-1_to_screen-reading,5,15
603,TP_meditation-1_to_screen-reading,5,35
604,TP_meditation-1_to_screen-reading,5,30
605,TP_meditation-1_to_screen-reading,5,35
606,TP_meditation-1_to_screen-reading,5,35
607,TP_meditation-1_to_screen-reading,5,25
608,TP_meditation-1_to_screen-reading,5,30
609,TP_meditation-1_to_screen-reading,5,25
610,TP_meditation-1_to_screen-reading,5,25
611,TP_meditation-1_to_screen-reading,5,35
612,TP_meditation-1_to_screen-reading,5,15
613,TP_meditation-1_to_screen-reading,5,20
614,TP_meditation-1_to_screen-reading,5,20
615,TP_meditation-1_to_screen-reading,5,15
616,TP_meditation-1_to_screen-reading,5,30
617,TP_meditation-1_to_screen-reading,5,15
618,TP_meditation-1_to_screen-reading,5,15
619,TP_meditation-1_to_screen-reading,5,20
620,TP_meditation-1_to_screen-reading,5,30
621,screen-reading,5,25
622,screen-reading,5,15
623,screen-reading,5,15
624,screen-reading,5,35
625,screen-reading,5,15
626,screen-reading,5,30
627,screen-reading,5,25
628,screen-reading,5,15
629,screen-reading,5,15
630,screen-reading,5,25
631,screen-reading,5,15
632,screen-reading,5,40
633,screen-reading,5,20
634,screen-reading,5,20
635,screen-reading,5,25
636,screen-reading,5,25
637,screen-reading,5,15
638,screen-reading,5,15
639,screen-reading,5,15
640,screen-reading,5,20
641,screen-reading,5,20
642,screen-reading,5,30
643,screen-reading,5,15
644,screen-reading,5,15
645,screen-reading,5,20
646,screen-reading,5,15
647,screen-reading,5,15
648,screen-reading,5,15
649,screen-reading,5,20
650,screen-reading,5,40
651,screen-reading,5,25
652,screen-reading,5,40
653,screen-reading,5,15
654,screen-reading,5,25
655,screen-reading,5,15
656,screen-reading,5,30
657,screen-reading,5,30
658,screen-reading,5,15
659,screen-reading,5,30
660,screen-reading,5,15
661,screen-reading,5,30
662,screen-reading,5,30
663,screen-reading,5,25
664,screen-reading,5,15
665,screen-reading,5,40
666,screen-reading,5,15
667,screen-reading,5,20
668,screen-reading,5,15
669,screen-reading,5,15
670,screen-reading,5,20
671,screen-reading,5,15
672,screen-reading,5,15
673,screen-reading,5,20
674,screen-reading,5,20
675,screen-reading,5,15
676,screen-reading,5,15
677,screen-reading,5,15
678,screen-reading,5,15
679,screen-reading,5,30
680,screen-reading,5,25
681,screen-reading,5,15
682,screen-reading,5,30
683,screen-reading,5,20
684,screen-reading,5,35
685,screen-reading,5,30
686,screen-reading,5,20
687,screen-reading,5,40
688,screen-reading,5,30
689,screen-reading,5,40
690,screen-reading,5,20
691,screen-reading,5,20
692,screen-reading,5,35
693,screen-reading,5,35
694,screen-reading,5,30
695,screen-reading,5,15
696,screen-reading,5,30
697,screen-reading,5,15
698,screen-reading,5,15
699,screen-reading,5,20
700,screen-reading,5,40
701,screen-reading,5,30
702,screen-reading,5,40
703,screen-reading,5,30
704,screen-reading,5,25
705,screen-reading,5,15
706,screen-reading,5,20
707,TP_screen-reading_to_ssst-prep,5,20
708,TP_screen-reading_to_ssst-prep,5,30
709,TP_screen-reading_to_ssst-prep,5,40
710,TP_screen-reading_to_ssst-prep,5,15
711,TP_screen-reading_to_ssst-prep,5,25
712,TP_screen-reading_to_ssst-prep,5,25
713,TP_screen-reading_to_ssst-prep,5,15
714,TP_screen-reading_to_ssst-prep,5,25
715,TP_screen-reading_to_ssst-prep,5,40
716,TP_screen-reading_to_ssst-prep,5,20
717,TP_screen-reading_to_ssst-prep,5,15
718,TP_screen-reading_to_ssst-prep,5,25
719,TP_screen-reading_to_ssst-prep,5,20
720,TP_screen-reading_to_ssst-prep,5,15
721,TP_screen-reading_to_ssst-prep,5,30
722,TP_screen-reading_to_ssst-prep,5,35
723,TP_screen-reading_to_ssst-prep,5,30
724,TP_screen-reading_to_ssst-prep,5,40
725,TP_screen-reading_to_ssst-prep,5,25
726,TP_screen-reading_to_ssst-prep,5,15
727,TP_screen-reading_to_ssst-prep,5,30
728,ssst-prep,5,15
729,ssst-prep,5,15
730,ssst-prep,5,15
731,ssst-prep,5,15
732,ssst-prep,5,15
733,ssst-prep,5,20
734,ssst-prep,5,25
735,ssst-prep,5,15
736,ssst-prep,5,40
737,ssst-prep,5,15
738,ssst-prep,5,15
739,ssst-sing,5,20
740,ssst-sing,5,40
741,ssst-sing,5,15
742,ssst-sing,5,30
743,ssst-sing,5,30
744,ssst-sing,5,15
745,ssst-sing,5,30
746,ssst-sing,5,20
747,ssst-sing,5,15
748,ssst-sing,5,20
749,ssst-sing,5,15
750,ssst-sing,5,35
751,TP_ssst-sing_to_meditation-2,5,30
752,TP_ssst-sing_to_meditation-2,5,20
753,TP_ssst-sing_to_meditation-2,5,15
754,TP_ssst-sing_to_meditation-2,5,35
755,TP_ssst-sing_to_meditation-2,5,25
756,TP_ssst-sing_to_meditation-2,5,30
757,TP_ssst-sing_to_meditation-2,5,25
758,TP_ssst-sing_to_meditation-2,5,40
759,TP_ssst-sing_to_meditation-2,5,20
760,TP_ssst-sing_to_meditation-2,5,25
761,TP_ssst-sing_to_meditation-2,5,35
762,TP_ssst-sing_to_meditation-2,5,15
763,TP_ssst-sing_to_meditation-2,5,15
764,TP_ssst-sing_to_meditation-2,5,15
765,TP_ssst-sing_to_meditation-2,5,25
766,TP_ssst-sing_to_meditation-2,5,25
767,TP_ssst-sing_to_meditation-2,5,15
768,TP_ssst-sing_to_meditation-2,5,15
769,TP_ssst-sing_to_meditation-2,5,15
770,TP_ssst-sing_to_meditation-2,5,30
771,TP_ssst-sing_to_meditation-2,5,30
772,meditation-2,5,25
773,meditation-2,5,15
774,meditation-2,5,40
775,meditation-2,5,30
776,meditation-2,5,20
777,meditation-2,5,20
778,meditation-2,5,15
779,meditation-2,5,40
780,meditation-2,5,30
781,meditation-2,5,15
782,meditation-2,5,20
783,meditation-2,5,20
784,meditation-2,5,15
785,meditation-2,5,25
786,meditation-2,5,20
787,meditation-2,5,40
788,meditation-2,5,15
789,meditation-2,5,20
790,meditation-2,5,20
791,meditation-2,5,15
792,meditation-2,5,25
793,meditation-2,5,40
794,meditation-2,5,15
795,meditation-2,5,15
796,meditation-2,5,20
797,meditation-2,5,40
798,meditation-2,5,35
799,meditation-2,5,15
800,meditation-2,5,15
801,meditation-2,5,20
802,meditation-2,5,15
803,meditation-2,5,30
804,meditation-2,5,20
805,meditation-2,5,30
806,meditation-2,5,15
807,meditation-2,5,30
808,meditation-2,5,15
809,meditation-2,5,15
810,meditation-2,5,15
811,meditation-2,5,15
812,meditation-2,5,15
813,meditation-2,5,15
814,meditation-2,5,35
815,meditation-2,5,35
816,meditation-2,5,25
817,meditation-2,5,15
818,meditation-2,5,35
819,meditation-2,5,35
820,meditation-2,5,15
821,meditation-2,5,15
822,meditation-2,5,20
823,meditation-2,5,15
824,meditation-2,5,30
825,meditation-2,5,15
826,meditation-2,5,20
827,meditation-2,5,15
828,meditation-2,5,35
829,meditation-2,5,25
830,meditation-2,5,15
831,meditation-2,5,15
832,meditation-2,5,30
833,meditation-2,5,35
834,meditation-2,5,40
835,meditation-2,5,15
836,meditation-2,5,25
837,meditation-2,5,30
838,meditation-2,5,15
839,meditation-2,5,30
840,meditation-2,5,15
841,meditation-2,5,35
842,meditation-2,5,15
843,meditation-2,5,15
844,meditation-2,5,15
845,meditation-2,5,15
846,meditation-2,5,40
847,meditation-2,5,20
848,meditation-2,5,15
849,meditation-2,5,40
850,meditation-2,5,20
851,meditation-2,5,40
852,meditation-2,5,25
853,meditation-2,5,15
854,meditation-2,5,15
855,meditation-2,5,35
856,meditation-2,5,15
857,meditation-2,5,35
858,meditation-2,5,15
859,meditation-2,5,15
860,meditation-2,5,20
861,meditation-2,5,40
862,meditation-2,5,15
863,meditation-2,5,15
864,meditation-2,5,15
865,meditation-2,5,25
866,meditation-2,5,40
867,meditation-2,5,20
868,meditation-2,5,30
869,meditation-2,5,35
870,meditation-2,5,35
871,meditation-2,5,40
872,meditation-2,5,20
873,meditation-2,5,35
874,meditation-2,5,40
875,meditation-2,5,15
876,meditation-2,5,15
877,meditation-2,5,20
878,meditation-2,5,25
879,meditation-2,5,20
880,meditation-2,5,35
881,meditation-2,5,15
882,meditation-2,5,30
883,meditation-2,5,15
884,meditation-2,5,20
885,meditation-2,5,15
886,meditation-2,5,25
887,meditation-2,5,15
888,meditation-2,5,15
889,meditation-2,5,25
890,meditation-2,5,15
891,meditation-2,5,30
892,meditation-2,5,15
893,meditation-2,5,40
894,meditation-2,5,15
895,meditation-2,5,15
896,meditation-2,5,15
897,meditation-2,5,35
898,meditation-2,5,20
899,meditation-2,5,25
900,meditation-2,5,15
901,meditation-2,5,20
902,meditation-2,5,30
903,meditation-2,5,30
904,meditation-2,5,15
905,meditation-2,5,15
906,meditation-2,5,15
907,meditation-2,5,15
908,meditation-2,5,15
909,meditation-2,5,15
910,meditation-2,5,20
911,meditation-2,5,15
912,meditation-2,5,15
913,meditation-2,5,15
914,meditation-2,5,15
915,meditation-2,5,15
916,meditation-2,5,15
917,meditation-2,5,30
918,TP_meditation-2_to_keyboard-typing,5,15
919,TP_meditation-2_to_keyboard-typing,5,20
920,TP_meditation-2_to_keyboard-typing,5,15
921,TP_meditation-2_to_keyboard-typing,5,15
922,TP_meditation-2_to_keyboard-typing,5,20
923,TP_meditation-2_to_keyboard-typing,5,25
924,TP_meditation-2_to_keyboard-typing,5,25
925,TP_meditation-2_to_keyboard-typing,5,30
926,TP_meditation-2_to_keyboard-typing,5,15
927,TP_meditation-2_to_keyboard-typing,5,15
928,TP_meditation-2_to_keyboard-typing,5,30
929,TP_meditation-2_to_keyboard-typing,5,25
930,TP_meditation-2_to_keyboard-typing,5,25
931,TP_meditation-2_to_keyboard-typing,5,35
932,TP_meditation-2_to_keyboard-typing,5,15
933,TP_meditation-2_to_keyboard-typing,5,40
934,TP_meditation-2_to_keyboard-typing,5,30
935,TP_meditation-2_to_keyboard-typing,5,15
936,keyboard-typing,5,25
937,keyboard-typing,5,15
938,keyboard-typing,5,15
939,keyboard-typing,5,30
940,keyboard-typing,5,25
941,keyboard-typing,5,15
942,keyboard-typing,5,15
943,keyboard-typing,5,15
944,keyboard-typing,5,35
945,keyboard-typing,5,20
