windowNumber,session,lowCutoff,highCutoff,error,polarHR,calculatedHR
1,adaptation,5,20,0.450887392900853,86.375,85.92411260709915
2,adaptation,5,20,2.703963051251492,86.375,83.67103694874851
3,adaptation,5,15,4.918918918918905,86.0,81.0810810810811
4,adaptation,5,15,3.843930635838163,85.0,81.15606936416184
5,adaptation,5,30,1.3728813559322077,84.0,82.62711864406779
6,adaptation,5,35,0.05357142857141639,83.625,83.57142857142858
7,adaptation,5,15,1.007042253521135,83.5,84.50704225352113
8,adaptation,5,15,0.23822269807278929,83.75,83.51177730192721
9,adaptation,5,15,1.1974522292993584,84.0,82.80254777070064
10,adaptation,5,15,2.0746073298429195,83.75,81.67539267015708
11,adaptation,5,15,1.9100418410041868,83.5,81.58995815899581
12,adaptation,5,15,1.3639937106918154,83.125,81.76100628930818
13,adaptation,5,15,0.05254777070064165,82.75,82.80254777070064
14,adaptation,5,25,0.03301886792453956,82.75,82.78301886792454
15,adaptation,5,15,0.2975687103593998,82.75,82.4524312896406
16,adaptation,5,15,1.5939306358381486,82.75,81.15606936416185
17,adaptation,5,15,2.1204128440366787,82.625,80.50458715596332
18,adaptation,5,15,1.3781152647975006,82.375,80.9968847352025
19,adaptation,5,15,0.06678082191780277,82.125,82.1917808219178
20,adaptation,5,15,0.4911868390129399,82.0,82.49118683901294
21,adaptation,5,40,0.19178082191778856,82.0,82.19178082191779
22,adaptation,5,15,1.0871369294605842,82.0,80.91286307053942
23,adaptation,5,15,0.5402763295098936,81.875,81.3347236704901
24,adaptation,5,25,0.13434579439251593,81.875,82.00934579439252
25,adaptation,5,15,1.5117773019271965,82.0,83.5117773019272
26,adaptation,5,15,1.6209677419354875,82.25,83.87096774193549
27,adaptation,5,25,0.002118644067778064,82.625,82.62711864406778
28,adaptation,5,20,1.2168989547038365,82.75,81.53310104529616
29,adaptation,5,15,1.0350418410041726,82.625,81.58995815899583
30,adaptation,5,15,0.07743128964058599,82.375,82.45243128964059
31,adaptation,5,15,0.5155419766206109,82.375,82.89054197662061
32,adaptation,5,40,0.1056338028168966,82.5,82.3943661971831
33,adaptation,5,25,0.9970930232558004,82.625,81.6279069767442
34,adaptation,5,15,1.7121369294605842,82.625,80.91286307053942
35,adaptation,5,30,0.556818181818187,82.375,81.81818181818181
36,adaptation,5,20,0.3661868390129257,82.125,82.49118683901293
37,adaptation,5,15,0.8537234042553195,82.125,82.97872340425532
38,adaptation,5,15,1.4058807733619716,82.375,83.78088077336197
39,adaptation,5,30,2.1351269649334768,82.75,84.88512696493348
40,adaptation,5,25,2.908185840707958,83.375,86.28318584070796
41,adaptation,5,20,2.5921052631579045,84.25,86.8421052631579
42,adaptation,5,15,1.579212916246206,85.0,86.5792129162462
43,adaptation,5,15,0.5195783132530067,85.625,86.144578313253
44,adaptation,5,15,0.37980241492864764,86.0,85.62019758507135
45,adaptation,5,25,0.5985401459853961,86.0,85.4014598540146
46,adaptation,5,15,0.47368421052631504,86.0,85.52631578947368
47,adaptation,5,15,0.5704772475027795,86.0,86.57047724750278
48,adaptation,5,40,1.0634328358208904,86.25,87.31343283582089
49,adaptation,5,20,1.610294117647058,86.625,88.23529411764706
50,adaptation,5,15,0.33677370030581244,87.125,87.46177370030581
51,adaptation,5,15,1.4030561122244336,87.375,85.97194388777557
52,adaptation,5,15,1.876865671641795,87.25,85.3731343283582
53,adaptation,5,15,0.38306451612905335,86.875,86.49193548387095
54,adaptation,5,30,1.4852941176470864,86.75,88.23529411764709
55,adaptation,5,25,2.876050420168056,87.25,90.12605042016806
56,adaptation,5,20,1.7179319371727644,88.125,89.84293193717276
57,adaptation,5,30,0.5869017632241764,89.0,88.41309823677582
58,adaptation,5,15,2.5545227524972205,89.125,86.57047724750278
59,adaptation,5,15,2.275498891352555,88.75,86.47450110864744
60,adaptation,5,15,0.18813416009020045,88.125,87.9368658399098
61,adaptation,5,20,0.7613636363636402,87.875,88.63636363636364
62,adaptation,5,20,0.41075482406355945,88.125,88.53575482406356
63,adaptation,5,40,0.625,88.375,87.75
64,adaptation,5,40,2.994518879415338,88.5,85.50548112058466
65,adaptation,5,25,3.675675675675677,88.0,84.32432432432432
66,adaptation,5,15,3.3987138263665457,87.0,83.60128617363345
67,adaptation,5,15,1.6179577464788935,86.125,84.5070422535211
68,adaptation,5,25,0.00548112058464767,85.5,85.50548112058465
69,adaptation,5,15,0.7177152317880768,85.375,86.09271523178808
70,adaptation,5,15,0.19236035049287636,85.625,85.43263964950712
71,adaptation,5,15,0.09868421052631504,85.625,85.52631578947368
72,adaptation,5,20,0.15308370044051856,85.75,85.90308370044052
73,adaptation,5,30,0.8792972699696691,85.875,86.75429726996967
74,adaptation,5,15,0.7346881959910974,86.125,86.8596881959911
75,adaptation,5,15,1.0048024149286476,86.625,85.62019758507135
76,adaptation,5,15,2.2094155844155807,86.625,84.41558441558442
77,adaptation,5,20,1.1900218102508262,86.25,85.05997818974917
78,adaptation,5,40,0.09691629955946723,86.0,85.90308370044053
79,adaptation,5,40,0.9166666666666572,85.75,86.66666666666666
80,adaptation,5,25,1.1508379888268223,86.0,87.15083798882682
81,adaptation,5,25,0.8904494382022392,86.75,87.64044943820224
82,adaptation,5,20,2.4371069182389817,87.5,89.93710691823898
83,adaptation,5,40,2.0277777777777573,88.25,90.27777777777776
84,adaptation,5,20,1.690006468305313,89.125,90.81500646830531
85,adaptation,5,35,3.6009036144578346,90.375,93.97590361445783
86,adaptation,5,15,3.0253807106599027,92.0,95.0253807106599
87,adaptation,5,15,0.7039473684210407,93.375,94.07894736842104
88,adaptation,5,40,4.124999999999986,94.125,90.00000000000001
89,adaptation,5,40,8.055825242718456,93.25,85.19417475728154
90,adaptation,5,15,7.8443496801705805,91.0,83.15565031982942
91,adaptation,5,15,5.27371382636656,88.875,83.60128617363344
92,adaptation,5,15,1.4566301096709964,87.0,85.543369890329
93,adaptation,5,20,0.3292129162462203,86.25,86.57921291624622
94,adaptation,5,15,0.2916666666666714,86.375,86.66666666666667
95,adaptation,5,35,0.3121546961325947,86.5,86.1878453038674
96,adaptation,5,15,2.6290322580645125,86.5,83.87096774193549
97,adaptation,5,30,2.453963051251492,86.125,83.67103694874851
98,adaptation,5,25,2.202540106951872,85.625,83.42245989304813
99,adaptation,5,40,1.1290322580645125,85.0,83.87096774193549
100,adaptation,5,35,1.5212765957446805,84.5,82.97872340425532
101,adaptation,5,30,1.91156126482214,84.125,82.21343873517786
102,adaptation,5,30,3.350557461406524,83.625,80.27444253859348
103,adaptation,5,20,4.1235955056179705,83.0,78.87640449438203
104,adaptation,5,15,3.2226443768996944,82.25,79.0273556231003
105,adaptation,5,15,1.7615187713310547,81.625,79.86348122866895
106,adaptation,5,15,1.125,81.125,80.0
107,adaptation,5,15,0.6704428424304751,81.0,80.32955715756952
108,adaptation,5,40,0.6796338672768769,81.0,80.32036613272312
109,adaptation,5,20,0.08108108108109491,81.0,81.0810810810811
110,adaptation,5,25,1.2977725674091403,81.0,82.29777256740914
111,adaptation,5,15,3.0405844155844193,81.375,84.41558441558442
112,adaptation,5,15,2.934978189749174,82.125,85.05997818974917
113,adaptation,5,25,1.805337756332932,82.875,84.68033775633293
114,adaptation,5,20,0.13338926174496635,83.625,83.75838926174497
115,adaptation,5,40,0.028708133971292682,84.0,83.97129186602871
116,adaptation,5,20,0.8851269649334768,84.0,84.88512696493348
117,adaptation,5,40,1.151459854014604,84.25,85.4014598540146
118,adaptation,5,35,0.9326396495071236,84.5,85.43263964950712
119,adaptation,5,15,0.7081673306772984,84.75,85.4581673306773
120,adaptation,5,25,0.38048112058464767,85.125,85.50548112058465
121,adaptation,5,25,0.4440709046454714,85.375,85.81907090464547
122,adaptation,5,35,1.0416666666666572,85.625,86.66666666666666
123,adaptation,5,40,0.5416666666666572,86.125,86.66666666666666
124,adaptation,5,35,0.38118811881187753,86.5,86.88118811881188
125,adaptation,5,35,0.4549689440993774,86.75,87.20496894409938
126,adaptation,5,35,0.2971668742216593,87.125,87.42216687422166
127,adaptation,5,25,0.09117497456765022,87.375,87.28382502543235
128,adaptation,5,25,1.6914191419141815,87.5,85.80858085808582
129,adaptation,5,15,3.050675675675663,87.375,84.32432432432434
130,adaptation,5,15,3.14871382636656,86.75,83.60128617363344
131,adaptation,5,15,0.9400218102508262,86.0,85.05997818974917
132,adaptation,5,20,1.0416666666666714,85.625,86.66666666666667
133,adaptation,5,30,1.9890326209223872,85.75,87.73903262092239
134,adaptation,5,25,0.7792887029288664,86.25,87.02928870292887
135,adaptation,5,25,0.7522050716648181,86.75,85.99779492833518
136,adaptation,5,20,1.967391304347828,86.75,84.78260869565217
137,adaptation,5,15,1.5923913043478137,86.375,84.78260869565219
138,adaptation,5,20,0.5048024149286476,86.125,85.62019758507135
139,adaptation,5,25,1.0967741935483843,86.0,87.09677419354838
140,adaptation,5,25,2.373419721871045,86.375,88.74841972187104
141,adaptation,5,15,1.8145667046750305,87.125,88.93956670467503
142,adaptation,5,25,1.1895667046750305,87.75,88.93956670467503
143,adaptation,5,25,0.5151752190237744,88.375,87.85982478097623
144,adaptation,5,15,0.6621621621621614,88.5,87.83783783783784
145,adaptation,5,40,0.024590163934419706,88.5,88.52459016393442
146,adaptation,5,15,0.9051724137930961,88.75,89.6551724137931
147,adaptation,5,15,0.9371069182389817,89.0,89.93710691823898
148,baseline,5,15,2.254098360655746,87.5,85.24590163934425
149,baseline,5,15,0.49626245847174744,86.875,86.37873754152825
150,baseline,5,15,0.7210246360582317,86.625,87.34602463605823
151,baseline,5,20,0.5227272727272663,86.75,87.27272727272727
152,baseline,5,15,0.15789473684209554,87.0,86.8421052631579
153,baseline,5,15,0.5951661631419825,87.0,86.40483383685802
154,baseline,5,25,0.682092555331991,87.0,86.31790744466801
155,baseline,5,15,0.8650306748466363,87.0,86.13496932515336
156,baseline,5,40,1.0357142857142776,86.75,85.71428571428572
157,baseline,5,15,1.2540983606557319,86.5,85.24590163934427
158,baseline,5,15,0.9465457955611214,86.28571428571429,85.33916849015317
159,baseline,5,15,0.28318584070795794,86.0,86.28318584070796
160,baseline,5,35,0.36693548387096087,86.125,86.49193548387096
161,baseline,5,15,0.14384422110553885,86.375,86.23115577889446
162,baseline,5,20,0.6190476190476204,86.33333333333333,85.71428571428571
163,baseline,5,15,0.848684210526315,86.375,85.52631578947368
164,baseline,5,15,0.06215469613260893,86.25,86.18784530386739
