windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,40
2,adaptation,5,25
3,adaptation,5,15
4,adaptation,5,20
5,adaptation,5,15
6,adaptation,5,40
7,adaptation,5,35
8,adaptation,5,25
9,adaptation,5,25
10,adaptation,5,15
11,adaptation,5,30
12,adaptation,5,15
13,adaptation,5,20
14,adaptation,5,40
15,adaptation,5,25
16,adaptation,5,20
17,adaptation,5,20
18,adaptation,5,20
19,adaptation,5,40
20,adaptation,5,30
21,adaptation,5,30
22,adaptation,5,20
23,adaptation,5,15
24,adaptation,5,20
25,adaptation,5,15
26,adaptation,5,15
27,adaptation,5,25
28,adaptation,5,15
29,adaptation,5,15
30,adaptation,5,15
31,adaptation,5,30
32,adaptation,5,15
33,adaptation,5,15
34,adaptation,5,15
35,adaptation,5,20
36,adaptation,5,40
37,adaptation,5,15
38,adaptation,5,15
39,adaptation,5,15
40,adaptation,5,15
41,adaptation,5,15
42,adaptation,5,15
43,adaptation,5,15
44,adaptation,5,35
45,adaptation,5,25
46,adaptation,5,15
47,adaptation,5,20
48,adaptation,5,15
49,adaptation,5,20
50,adaptation,5,40
51,adaptation,5,15
52,adaptation,5,15
53,adaptation,5,35
54,adaptation,5,25
55,adaptation,5,20
56,adaptation,5,40
57,adaptation,5,25
58,adaptation,5,40
59,adaptation,5,15
60,adaptation,5,15
61,adaptation,5,40
62,adaptation,5,20
63,adaptation,5,15
64,adaptation,5,30
65,adaptation,5,30
66,adaptation,5,15
67,adaptation,5,15
68,adaptation,5,15
69,adaptation,5,30
70,adaptation,5,30
71,adaptation,5,15
72,adaptation,5,20
73,adaptation,5,40
74,adaptation,5,15
75,adaptation,5,40
76,adaptation,5,35
77,adaptation,5,20
78,adaptation,5,20
79,adaptation,5,25
80,adaptation,5,15
81,adaptation,5,15
82,adaptation,5,35
83,adaptation,5,15
84,adaptation,5,15
85,adaptation,5,15
86,adaptation,5,20
87,adaptation,5,15
88,adaptation,5,25
89,adaptation,5,15
90,adaptation,5,15
91,adaptation,5,25
92,adaptation,5,15
93,adaptation,5,15
94,adaptation,5,15
95,adaptation,5,20
96,adaptation,5,30
97,adaptation,5,40
98,adaptation,5,15
99,adaptation,5,30
100,adaptation,5,35
101,adaptation,5,35
102,adaptation,5,15
103,adaptation,5,30
104,adaptation,5,15
105,adaptation,5,35
106,adaptation,5,15
107,adaptation,5,15
108,adaptation,5,15
109,adaptation,5,25
110,adaptation,5,15
111,adaptation,5,15
112,adaptation,5,15
113,adaptation,5,15
114,adaptation,5,20
115,adaptation,5,30
116,adaptation,5,15
117,adaptation,5,35
118,adaptation,5,15
119,adaptation,5,40
120,adaptation,5,15
121,adaptation,5,40
122,adaptation,5,20
123,adaptation,5,15
124,adaptation,5,15
125,adaptation,5,25
126,adaptation,5,30
127,adaptation,5,15
128,adaptation,5,15
129,adaptation,5,15
130,adaptation,5,15
131,adaptation,5,15
132,adaptation,5,25
133,adaptation,5,20
134,adaptation,5,15
135,adaptation,5,20
136,adaptation,5,30
137,adaptation,5,30
138,adaptation,5,15
139,adaptation,5,15
140,adaptation,5,20
141,adaptation,5,25
142,adaptation,5,25
143,adaptation,5,35
144,adaptation,5,25
145,adaptation,5,15
146,adaptation,5,30
147,baseline,5,35
148,baseline,5,30
149,baseline,5,15
150,baseline,5,35
151,baseline,5,15
152,baseline,5,35
153,baseline,5,30
154,baseline,5,20
155,baseline,5,15
156,baseline,5,15
157,baseline,5,15
158,baseline,5,15
159,baseline,5,15
160,baseline,5,15
161,baseline,5,15
162,baseline,5,15
163,baseline,5,40
164,baseline,5,15
165,baseline,5,30
166,baseline,5,15
167,baseline,5,15
168,baseline,5,15
169,baseline,5,35
170,baseline,5,20
171,baseline,5,30
172,baseline,5,25
173,baseline,5,15
174,baseline,5,40
175,baseline,5,30
176,baseline,5,15
177,baseline,5,25
178,baseline,5,15
179,baseline,5,25
180,baseline,5,35
181,baseline,5,15
182,baseline,5,25
183,baseline,5,20
184,baseline,5,20
185,baseline,5,15
186,baseline,5,25
187,baseline,5,25
188,baseline,5,15
189,baseline,5,30
190,baseline,5,15
191,baseline,5,35
192,baseline,5,15
193,baseline,5,15
194,baseline,5,15
195,baseline,5,40
196,baseline,5,20
197,baseline,5,40
198,baseline,5,15
199,baseline,5,15
200,baseline,5,15
201,baseline,5,25
202,baseline,5,30
203,baseline,5,40
204,baseline,5,25
205,baseline,5,35
206,baseline,5,20
207,baseline,5,25
208,baseline,5,15
209,baseline,5,15
210,baseline,5,25
211,baseline,5,15
212,baseline,5,15
213,baseline,5,20
214,baseline,5,20
215,baseline,5,15
216,baseline,5,20
217,baseline,5,30
218,baseline,5,30
219,baseline,5,30
220,baseline,5,15
221,baseline,5,40
222,baseline,5,20
223,baseline,5,40
224,baseline,5,35
225,baseline,5,25
226,baseline,5,15
227,baseline,5,35
228,baseline,5,15
229,baseline,5,15
230,baseline,5,15
231,baseline,5,30
232,baseline,5,35
233,TP_baseline_to_tsst-prep,5,30
234,TP_baseline_to_tsst-prep,5,25
235,TP_baseline_to_tsst-prep,5,20
236,TP_baseline_to_tsst-prep,5,20
237,TP_baseline_to_tsst-prep,5,30
238,TP_baseline_to_tsst-prep,5,20
239,TP_baseline_to_tsst-prep,5,15
240,TP_baseline_to_tsst-prep,5,15
241,TP_baseline_to_tsst-prep,5,15
242,TP_baseline_to_tsst-prep,5,15
243,TP_baseline_to_tsst-prep,5,40
244,TP_baseline_to_tsst-prep,5,25
245,TP_baseline_to_tsst-prep,5,15
246,TP_baseline_to_tsst-prep,5,35
247,TP_baseline_to_tsst-prep,5,40
248,TP_baseline_to_tsst-prep,5,20
249,TP_baseline_to_tsst-prep,5,15
250,TP_baseline_to_tsst-prep,5,35
251,TP_baseline_to_tsst-prep,5,15
252,TP_baseline_to_tsst-prep,5,15
253,TP_baseline_to_tsst-prep,5,35
254,TP_baseline_to_tsst-prep,5,20
255,tsst-prep,5,15
256,tsst-prep,5,35
257,tsst-prep,5,40
258,tsst-prep,5,25
259,tsst-prep,5,20
260,tsst-prep,5,15
261,tsst-prep,5,15
262,tsst-prep,5,15
263,tsst-prep,5,15
264,tsst-prep,5,15
265,tsst-prep,5,30
266,tsst-prep,5,25
267,tsst-prep,5,20
268,tsst-prep,5,15
269,tsst-prep,5,15
270,tsst-prep,5,15
271,tsst-prep,5,35
272,tsst-prep,5,40
273,tsst-prep,5,35
274,tsst-prep,5,25
275,tsst-prep,5,20
276,tsst-prep,5,20
277,tsst-prep,5,25
278,tsst-prep,5,25
279,tsst-prep,5,15
280,tsst-prep,5,30
281,tsst-prep,5,35
282,tsst-prep,5,20
283,tsst-prep,5,20
284,tsst-prep,5,30
285,tsst-prep,5,15
286,tsst-prep,5,15
287,tsst-prep,5,15
288,tsst-prep,5,15
289,tsst-prep,5,40
290,tsst-prep,5,15
291,tsst-prep,5,15
292,tsst-prep,5,35
293,tsst-prep,5,30
294,tsst-prep,5,40
295,tsst-prep,5,15
296,tsst-prep,5,20
297,tsst-prep,5,15
298,tsst-prep,5,40
299,tsst-prep,5,15
300,tsst-prep,5,30
301,tsst-prep,5,40
302,tsst-prep,5,40
303,tsst-prep,5,15
304,tsst-prep,5,15
305,tsst-prep,5,15
306,tsst-prep,5,20
307,tsst-prep,5,30
308,tsst-prep,5,15
309,tsst-prep,5,15
310,tsst-prep,5,20
311,tsst-prep,5,15
312,tsst-prep,5,35
313,tsst-prep,5,20
314,tsst-prep,5,40
315,tsst-prep,5,15
316,tsst-prep,5,15
317,tsst-prep,5,35
318,tsst-prep,5,15
319,tsst-prep,5,30
320,tsst-prep,5,15
321,tsst-prep,5,20
322,tsst-prep,5,15
323,tsst-prep,5,15
324,tsst-prep,5,15
325,tsst-prep,5,15
326,tsst-prep,5,30
327,tsst-prep,5,40
328,tsst-prep,5,25
329,tsst-prep,5,15
330,tsst-prep,5,30
331,tsst-prep,5,15
332,tsst-prep,5,15
333,tsst-prep,5,15
334,tsst-prep,5,15
335,tsst-prep,5,20
336,tsst-prep,5,15
337,tsst-prep,5,15
338,tsst-prep,5,15
339,tsst-prep,5,25
340,tsst-prep,5,30
341,tsst-prep,5,30
342,tsst-speech,5,20
343,tsst-speech,5,25
344,tsst-speech,5,15
345,tsst-speech,5,40
346,tsst-speech,5,15
347,tsst-speech,5,15
348,tsst-speech,5,30
349,tsst-speech,5,20
350,tsst-speech,5,15
351,tsst-speech,5,15
352,tsst-speech,5,15
353,tsst-speech,5,15
354,tsst-speech,5,15
355,tsst-speech,5,15
356,tsst-speech,5,40
357,tsst-speech,5,15
358,tsst-speech,5,30
359,tsst-speech,5,40
360,tsst-speech,5,15
361,tsst-speech,5,35
362,tsst-speech,5,30
363,tsst-speech,5,40
364,tsst-speech,5,15
365,tsst-speech,5,20
366,tsst-speech,5,15
367,tsst-speech,5,20
368,tsst-speech,5,40
